,stopwords
0,아
1,휴
2,아이구
3,아이쿠
4,아이고
5,어
6,나
7,우리
8,저희
9,따라
10,의해
11,을
12,를
13,에
14,의
15,가
16,으로
17,로
18,에게
19,뿐이다
20,의거하여
21,근거하여
22,입각하여
23,기준으로
24,예하면
25,예를 들면
26,예를 들자면
27,저
28,소인
29,소생
30,지말고
31,하지마
32,하지마라
33,다른
34,물론
35,또한
36,그리고
37,비길수 없다
38,해서는 안된다
39,뿐만 아니라
40,만이 아니다
41,만은 아니다
42,막론하고
43,관계없이
44,그치지 않다
45,그러나
46,그런데
47,하지만
48,든간에
49,논하지 않다
50,따지지 않다
51,설사
52,비록
53,더라도
54,아니면
55,만 못하다
56,하는 편이 낫다
57,불문하고
58,향하여
59,향해서
60,향하다
61,쪽으로
62,틈타
63,이용하여
64,타다
65,오르다
66,제외하고
67,이 외에
68,이 밖에
69,하여야
70,비로소
71,한다면 몰라도
72,외에도
73,이곳
74,여기
75,부터
76,기점으로
77,따라서
78,할 생각이다
79,하려고하다
80,이리하여
81,그리하여
82,그렇게 함으로써
83,일때
84,할때
85,앞에서
86,중에서
87,보는데서
88,으로써
89,로써
90,까지
91,해야한다
92,일것이다
93,반드시
94,할줄알다
95,할수있다
96,할수있어
97,임에 틀림없다
98,한다면
99,등
100,등등
101,제
102,겨우
103,단지
104,다만
105,할뿐
106,딩동
107,댕그
108,대해서
109,대하여
110,대하면
111,훨씬
112,얼마나
113,얼마만큼
114,얼마큼
115,남짓
116,여
117,얼마간
118,약간
119,다소
120,좀
121,조금
122,다수
123,몇
124,얼마
125,지만
126,하물며
127,그렇지만
128,이외에도
129,대해 말하자면
130,다음에
131,반대로
132,반대로 말하자면
133,이와 반대로
134,바꾸어서 말하면
135,바꾸어서 한다면
136,만약
137,그렇지않으면
138,까악
139,툭
140,딱
141,삐걱거리다
142,보드득
143,비걱거리다
144,꽈당
145,응당
146,에 가서
147,각
148,각각
149,여러분
150,각종
151,각자
152,제각기
153,하도록하다
154,와
155,과
156,그러므로
157,그래서
158,고로
159,한 까닭에
160,하기 때문에
161,거니와
162,이지만
163,관하여
164,관한
165,과연
166,실로
167,아니나다를가
168,생각한대로
169,진짜로
170,한적이있다
171,하곤하였다
172,하
173,하하
174,허허
175,아하
176,거바
177,오
178,왜
179,어째서
180,무엇때문에
181,어찌
182,하겠는가
183,무슨
184,어디
185,어느곳
186,더군다나
187,더욱이는
188,어느때
189,언제
190,야
191,이봐
192,어이
193,여보시오
194,흐흐
195,흥
196,헉헉
197,헐떡헐떡
198,영차
199,여차
200,어기여차
201,끙끙
202,아야
203,앗
204,콸콸
205,졸졸
206,좍좍
207,뚝뚝
208,주룩주룩
209,솨
210,우르르
211,그래도
212,또
213,바꾸어말하면
214,바꾸어말하자면
215,혹은
216,혹시
217,답다
218,및
219,그에 따르는
220,때가 되어
221,즉
222,지든지
223,설령
224,가령
225,하더라도
226,할지라도
227,일지라도
228,거의
229,하마터면
230,인젠
231,이젠
232,된바에야
233,된이상
234,만큼
235,어찌됏든
236,그위에
237,게다가
238,점에서 보아
239,비추어 보아
240,고려하면
241,하게될것이다
242,비교적
243,보다더
244,비하면
245,시키다
246,하게하다
247,할만하다
248,의해서
249,연이서
250,이어서
251,잇따라
252,뒤따라
253,뒤이어
254,결국
255,의지하여
256,기대여
257,통하여
258,자마자
259,더욱더
260,불구하고
261,얼마든지
262,마음대로
263,주저하지 않고
264,곧
265,즉시
266,바로
267,당장
268,하자마자
269,밖에 안된다
270,하면된다
271,그래
272,그렇지
273,요컨대
274,다시 말하자면
275,바꿔 말하면
276,구체적으로
277,말하자면
278,시작하여
279,시초에
280,이상
281,허
282,헉
283,허걱
284,바와같이
285,해도좋다
286,해도된다
287,더구나
288,와르르
289,팍
290,퍽
291,펄렁
292,동안
293,이래
294,하고있었다
295,이었다
296,에서
297,로부터
298,했어요
299,해요
300,함께
301,같이
302,더불어
303,마저
304,마저도
305,양자
306,모두
307,습니다
308,가까스로
309,즈음하여
310,다른 방면으로
311,해봐요
312,습니까
313,말할것도 없고
314,무릎쓰고
315,개의치않고
316,하는것만 못하다
317,하는것이 낫다
318,매
319,매번
320,들
321,모
322,어느것
323,어느
324,갖고말하자면
325,어느쪽
326,어느해
327,어느 년도
328,라 해도
329,언젠가
330,어떤것
331,저기
332,저쪽
333,저것
334,그때
335,그럼
336,그러면
337,요만한걸
338,저것만큼
339,그저
340,이르기까지
341,할 줄 안다
342,할 힘이 있다
343,너
344,너희
345,당신
346,설마
347,차라리
348,할지언정
349,할망정
350,구토하다
351,게우다
352,토하다
353,메쓰겁다
354,옆사람
355,퉤
356,쳇
357,힘입어
358,그
359,다음
360,버금
361,두번째로
362,기타
363,첫번째로
364,나머지는
365,그중에서
366,견지에서
367,형식으로 쓰여
368,입장에서
369,위해서
370,의해되다
371,하도록시키다
372,뿐만아니라
373,전후
374,전자
375,앞의것
376,잠시
377,잠깐
378,하면서
379,그러한즉
380,그런즉
381,남들
382,아무거나
383,어찌하든지
384,같다
385,비슷하다
386,예컨대
387,이럴정도로
388,어떻게
389,만일
390,위에서 서술한바와같이
391,인 듯하다
392,하지 않는다면
393,만약에
394,무엇
395,어떤
396,아래윗
397,조차
398,한데
399,그럼에도 불구하고
400,여전히
401,심지어
402,까지도
403,조차도
404,하지 않도록
405,않기 위하여
406,때
407,시각
408,무렵
409,시간
410,어때
411,어떠한
412,하여금
413,네
414,예
415,우선
416,누구
417,누가 알겠는가
418,아무도
419,줄은모른다
420,줄은 몰랏다
421,하는 김에
422,겸사겸사
423,하는바
424,그런 까닭에
425,한 이유는
426,그러니
427,그러니까
428,때문에
429,그들
430,너희들
431,타인
432,것
433,것들
434,위하여
435,공동으로
436,동시에
437,하기 위하여
438,어찌하여
439,붕붕
440,윙윙
441,엉엉
442,휘익
443,오호
444,어쨋든
445,하기보다는
446,놀라다
447,상대적으로 말하자면
448,마치
449,아니라면
450,쉿
451,그렇지 않으면
452,그렇지 않다면
453,안 그러면
454,아니었다면
455,하든지
456,이라면
457,좋아
458,알았어
459,하는것도
460,그만이다
461,어쩔수 없다
462,하나
463,일
464,일반적으로
465,일단
466,한켠으로는
467,오자마자
468,이렇게되면
469,이와같다면
470,전부
471,한마디
472,한항목
473,근거로
474,하기에
475,아울러
476,않기 위해서
477,이 되다
478,로 인하여
479,까닭으로
480,이유만으로
481,이로 인하여
482,이 때문에
483,알 수 있다
484,결론을 낼 수 있다
485,으로 인하여
486,있다
487,관계가 있다
488,관련이 있다
489,연관되다
490,어떤것들
491,에 대해
492,여부
493,하느니
494,하면 할수록
495,운운
496,이러이러하다
497,하구나
498,하도다
499,다시말하면
500,다음으로
501,에 있다
502,에 달려 있다
503,우리들
504,오히려
505,하기는한데
506,어떻해
507,어찌됏어
508,본대로
509,자
510,이
511,이쪽
512,이것
513,이번
514,이렇게말하자면
515,이런
516,이러한
517,이와 같은
518,요만큼
519,요만한 것
520,얼마 안 되는 것
521,이만큼
522,이 정도의
523,이렇게 많은 것
524,이와 같다
525,이때
526,이렇구나
527,것과 같이
528,끼익
529,삐걱
530,따위
531,와 같은 사람들
532,부류의 사람들
533,왜냐하면
534,중의하나
535,오직
536,오로지
537,에 한하다
538,하기만 하면
539,도착하다
540,까지 미치다
541,도달하다
542,정도에 이르다
543,할 지경이다
544,결과에 이르다
545,관해서는
546,하고 있다
547,한 후
548,혼자
549,자기
550,자기집
551,자신
552,우에 종합한것과같이
553,총적으로 보면
554,총적으로 말하면
555,총적으로
556,대로 하다
557,으로서
558,참
559,할 따름이다
560,쿵
561,탕탕
562,쾅쾅
563,둥둥
564,봐
565,봐라
566,아이야
567,아니
568,와아
569,응
570,아이
571,참나
572,년
573,월
574,령
575,영
576,삼
577,사
578,육
579,륙
580,칠
581,팔
582,구
583,이천육
584,이천칠
585,이천팔
586,이천구
587,둘
588,셋
589,넷
590,다섯
591,여섯
592,일곱
593,여덟
594,아홉
595,있
596,되
597,수
598,보
599,않
600,없
601,사람
602,주
603,같
604,한
605,지
606,대하
607,말
608,그렇
609,위하
610,때문
611,그것
612,두
613,말하
614,알
615,받
616,못하
617,그런
618,문제
619,더
620,사회
621,많
622,좋
623,크
624,따르
625,중
626,나오
627,가지
628,씨
629,시키
630,만들
631,지금
632,생각하
633,그러
634,속
635,집
636,살
637,모르
638,적
639,데
640,안
641,내
642,경우
643,명
644,생각
645,그녀
646,다시
647,앞
648,보이
649,번
650,어떻
651,여자
652,개
653,전
654,사실
655,이렇
656,점
657,싶
658,정도
659,원
660,잘
661,통하
662,소리
663,놓
664,도
665,는
666,다
667,은
668,고
669,인
670,듯
671,임
672,게
673,인듯
674,같이나
675,같이는
676,같이는야
677,같이는커녕
678,같이도
679,같이만
680,같인
681,과는
682,과는커녕
683,과도
684,과를
685,과만
686,과만은
687,과의
688,까지가
689,까지나
690,까지나마
691,까지는
692,까지는야
693,까지는커녕
694,까지든지
695,까지라고
696,까지라고는
697,까지라고만은
698,까지라도
699,까지로
700,까지로나
701,까지로나마
702,까지로는
703,까지로는야
704,까지로는커녕
705,까지로도
706,까지로든
707,까지로든지
708,까지로라서
709,까지로라야
710,까지로만
711,까지로만은
712,까지로서
713,까지로써
714,까지를
715,까지만
716,까지만은
717,까지만이라도
718,까지야
719,까지야말로
720,까지에
721,까지와
722,까지의
723,까지조차
724,까지조차도
725,까진
726,께옵서
727,께옵서는
728,께옵서는야
729,께옵서는커녕
730,께옵서도
731,께옵서만
732,께옵서만은
733,께옵서만이
734,께옵선
735,나마
736,는야
737,는커녕
738,니
739,다가
740,다가는
741,다가도
742,다간
743,대로
744,대로가
745,대로는
746,대로의
747,더러
748,더러는
749,더러만은
750,든
751,든지
752,라
753,라고
754,라고까지
755,라고까지는
756,라고는
757,라고만은
758,라곤
759,라도
760,라든지
761,라서
762,라야
763,라야만
764,라오
765,라지
766,라지요
767,랑
768,랑은
769,로고
770,로구나
771,로구려
772,로구먼
773,로군
774,로군요
775,로다
776,로되
777,로세
778,마다
779,마다라도
780,마다를
781,마다에게
782,마다의
783,마따나
784,마저나마라도
785,마저라도
786,마저야
787,만
788,만도
789,만에
790,만으로
791,만으로는
792,만으로도
793,만으로라도
794,만으로써
795,만으론
796,만은
797,만을
798,만의
799,만이
800,만이라도
801,만치
802,만큼도
803,만큼만
804,만큼씩
805,만큼은
806,만큼의
807,만큼이나
808,만큼이라도
809,만큼이야
810,말고
811,말고는
812,말고도
813,며
814,밖에
815,밖에는
816,밖에도
817,밖엔
818,보고
819,보고는
820,보고도
821,보고만
822,보고만은
823,보고만이라도
824,보곤
825,보다
826,보다는
827,보다는야
828,보다도
829,보다만
830,보다야
831,보단
832,부터가
833,부터나마
834,부터는
835,부터도
836,부터라도
837,부터를
838,부터만
839,부터만은
840,부터서는
841,부터야말로
842,부터의
843,부턴
844,야말로
845,에게가
846,에게까지
847,에게까지는
848,에게까지는커녕
849,에게까지도
850,에게까지만
851,에게까지만은
852,에게나
853,에게는
854,에게는커녕
855,에게다
856,에게도
857,에게든
858,에게든지
859,에게라도
860,에게로
861,에게로는
862,에게마다
863,에게만
864,에게며
865,에게보다
866,에게보다는
867,에게부터
868,에게서
869,에게서가
870,에게서까지
871,에게서나
872,에게서는
873,에게서도
874,에게서든지
875,에게서라도
876,에게서만
877,에게서보다
878,에게서부터
879,에게서야
880,에게서와
881,에게서의
882,에게서처럼
883,에게선
884,에게야
885,에게와
886,에게의
887,에게처럼
888,에게하고
889,에게하며
890,에겐
891,에까지
892,에까지는
893,에까지도
894,에까지든지
895,에까지라도
896,에까지만
897,에까지만은
898,에까진
899,에나
900,에는
901,에다
902,에다가
903,에다가는
904,에다간
905,에도
906,에든
907,에든지
908,에라도
909,에로
910,에로의
911,에를
912,에만
913,에만은
914,에부터
915,에서가
916,에서까지
917,에서까지도
918,에서나
919,에서나마
920,에서는
921,에서도
922,에서든지
923,에서라도
924,에서만
925,에서만도
926,에서만이
927,에서만큼
928,에서만큼은
929,에서보다
930,에서부터
931,에서부터는
932,에서부터도
933,에서부터라도
934,에서부터만
935,에서부터만은
936,에서야
937,에서와
938,에서와는
939,에서와의
940,에서의
941,에서조차
942,에서처럼
943,에선
944,에야
945,에의
946,에조차도
947,에하며
948,엔
949,엔들
950,엘
951,엘랑
952,와는
953,와도
954,와라도
955,와를
956,와만
957,와만은
958,와에만
959,와의
960,와처럼
961,와한테
962,요
963,으로가
964,으로까지
965,으로까지만은
966,으로나
967,으로나든지
968,으로는
969,으로도
970,으로든지
971,으로라도
972,으로랑
973,으로만
974,으로만은
975,으로부터
976,으로부터는
977,으로부터는커녕
978,으로부터도
979,으로부터만
980,으로부터만은
981,으로부터서는
982,으로부터서도
983,으로부터서만
984,으로부터의
985,으로서가
986,으로서나
987,으로서는
988,으로서도
989,으로서든지
990,으로서라도
991,으로서만
992,으로서만도
993,으로서만은
994,으로서야
995,으로서의
996,으로선
997,으로써나
998,으로써는
999,으로써라도
1000,으로써만
1001,으로써야
1002,으로야
1003,으로의
1004,으론
1005,은커녕
1006,이고
1007,이나
1008,이나마
1009,이니
1010,이다
1011,이든
1012,이든지
1013,이라
1014,이라고
1015,이라고는
1016,이라고도
1017,이라고만은
1018,이라곤
1019,이라는
1020,이라도
1021,이라든지
1022,이라서
1023,이라야
1024,이라야만
1025,이랑
1026,이랑은
1027,이며
1028,이며에게
1029,이며조차도
1030,이야
1031,이야말로
1032,이여
1033,인들
1034,인즉
1035,인즉슨
1036,일랑
1037,일랑은
1038,조차가
1039,조차를
1040,조차의
1041,처럼
1042,처럼과
1043,처럼도
1044,처럼만
1045,처럼만은
1046,처럼은
1047,처럼이라도
1048,처럼이야
1049,치고
1050,치고는
1051,커녕
1052,커녕은
1053,커니와
1054,토록
1055,하고
1056,하고가
1057,하고는
1058,하고는커녕
1059,하고도
1060,하고라도
1061,하고마저
1062,하고만
1063,하고만은
1064,하고야
1065,하고에게
1066,하고의
1067,하고조차
1068,하고조차도
1069,하곤
